species_code,common_name,scientific_name,prediction_year,region_type,region_code,region_name,continent_code,continent_name,season,start_date,end_date,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop
amewoo,American Woodcock,Scolopax minor,2023,country,CAN,Canada,NA,North America,breeding,2023-04-26,2023-07-26,0.08768750926585095,0.6239707655215053,0.6239707655215053,0.25237010836258433,0.4122428278477238,98,2023-06-07,0.7597111396990879
amewoo,American Woodcock,Scolopax minor,2023,country,CAN,Canada,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.00370793810671179,0.424295209801854,0.424295209801854,0.21188112582570612,0.28439030153879974,105,2023-08-09,0.6402955223039628
amewoo,American Woodcock,Scolopax minor,2023,country,CAN,Canada,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.04841500539072742,0.14025976066013804,0.14025976066013804,0.23613336899758575,0.19692692161876632,49,2023-04-19,0.4744910593276345
amewoo,American Woodcock,Scolopax minor,2023,country,USA,United States,NA,North America,breeding,2023-04-26,2023-07-26,0.06288578213102164,0.3760292344784947,0.3760292344784947,0.42819353641852714,0.5877571721522761,98,2023-04-26,0.449047319786208
amewoo,American Woodcock,Scolopax minor,2023,country,USA,United States,NA,North America,nonbreeding,2023-12-06,2023-01-11,0.02887246391440331,1,1,0.3338054561381968,1,42,2023-01-04,1
amewoo,American Woodcock,Scolopax minor,2023,country,USA,United States,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.00396325952325927,0.575704790198146,0.575704790198146,0.4199929778958054,0.71560969846120015,126,2023-11-29,0.999973747486382
amewoo,American Woodcock,Scolopax minor,2023,country,USA,United States,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.205337395574592,0.859740239339862,0.859740239339862,0.6662868512420002,0.8030730783812337,98,2023-01-18,1
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-MB,Manitoba,NA,North America,breeding,2023-04-26,2023-07-26,0.01901432274738216,0.02251560927514959,0.02251560927514959,0.07495005690657659,0.02037339921951442,98,2023-06-07,0.0530078898461245
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-MB,Manitoba,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,3.1573243015489845e-4,0.00681751789776431,0.00681751789776431,0.03628768401188587,0.00919079761593161,84,2023-09-06,0.03281142658529961
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-MB,Manitoba,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.00684610634797408,0.00374255500632456,0.00374255500632456,0.05675769349935974,0.00893190116976642,28,2023-04-19,0.01554206250395529
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-NB,New Brunswick,NA,North America,breeding,2023-04-26,2023-07-26,0.3169229382483224,0.04634258439866143,0.04634258439866143,0.9151354804806824,0.0307185460167853,98,2023-07-26,0.08407264308149912
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-NB,New Brunswick,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.01912994367847332,0.05100873102527444,0.05100873102527444,0.8480979763273462,0.02652550814498816,105,2023-10-18,0.08551140647179616
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-NB,New Brunswick,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.24336171548571417,0.01642859950886202,0.01642859950886202,0.9459706328130216,0.01838317656058241,42,2023-04-19,0.05087801261875453
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-NL,Newfoundland and Labrador,NA,North America,breeding,2023-04-26,2023-07-26,1.0573184982890405e-6,8.887715191372112e-7,8.887715191372112e-7,1.2160343393754842e-4,2.346490627725351e-5,0,2023-05-17,5.041699929320534e-6
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-NS,Nova Scotia,NA,North America,breeding,2023-04-26,2023-07-26,0.10935832264235826,0.01381506587155627,0.01381506587155627,0.760891494860916,0.02206543713090359,98,2023-07-12,0.05388660132383639
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-NS,Nova Scotia,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.01174886302118226,0.02706457504173777,0.02706457504173777,0.5799888761825519,0.01567154786363927,112,2023-08-16,0.07054116492381894
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-NS,Nova Scotia,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.18865635434081693,0.01100257318761876,0.01100257318761876,0.8078319697444128,0.01356246043782985,42,2023-04-05,0.02249451954139619
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-ON,Ontario,NA,North America,breeding,2023-04-26,2023-07-26,0.11541879544183169,0.21846056448206497,0.21846056448206497,0.36339722975514865,0.1578944309669509,98,2023-05-24,0.2570302281012848
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-ON,Ontario,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.00277003146393591,0.09560607042457445,0.09560607042457445,0.23345098324069744,0.09451121166147988,105,2023-08-23,0.20397687737945253
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-ON,Ontario,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.06844519918284132,0.05980826642593535,0.05980826642593535,0.28999526105061924,0.07294637976801008,56,2023-04-19,0.17044882842719766
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-PE,Prince Edward Island,NA,North America,breeding,2023-04-26,2023-07-26,0.04757866076387139,7.416725314891408e-4,7.416725314891408e-4,0.37814207650273224,0.00135314292865495,98,2023-04-26,9.052035122505574e-4
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-PE,Prince Edward Island,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,4.825495572155087e-4,1.3716589925748542e-4,1.3716589925748542e-4,0.17049180327868851,5.684530424991528e-4,98,2023-10-18,3.2785326841955147e-4
amewoo,American Woodcock,Scolopax minor,2023,state,CAN-PE,Prince Edward Island,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.07852994034911602,5.651411846517353e-4,5.651411846517353e-4,0.49836065573770494,0.00103242867525363,42,2023-04-05,0.00146551391296159
