species_code,common_name,scientific_name,prediction_year,region_type,region_code,region_name,continent_code,continent_name,season,start_date,end_date,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop
norcar,Northern Cardinal,Cardinalis cardinalis,2023,country,BLZ,Belize,NA,North America,year_round,2023-01-04,2023-12-27,0.095134840114683,1.235469245025049e-4,1.235469245025049e-4,0.3391367992800712,0.0013666754373491,365,2023-08-30,1.4426636375247393e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,country,BMU,Bermuda,NA,North America,year_round,2023-01-04,2023-12-27,0.7394493593646317,1.5097603068651276e-5,1.5097603068651276e-5,0.384684173673911,2.437260843779704e-5,365,2023-11-08,1.7194893767159242e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,country,CAN,Canada,NA,North America,year_round,2023-01-04,2023-12-27,0.02106118121967181,0.00924430575987368,0.00924430575987368,0.01698729390153572,0.02313736528303855,365,2023-03-01,0.0107711852379976
norcar,Northern Cardinal,Cardinalis cardinalis,2023,country,GTM,Guatemala,NA,North America,year_round,2023-01-04,2023-12-27,0.00231742374123973,6.077361416375082e-6,6.077361416375082e-6,0.02541035153528105,2.0678470448371177e-4,365,2023-04-12,8.857282198151425e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,country,MEX,Mexico,NA,North America,year_round,2023-01-04,2023-12-27,0.27823635518528184,0.03820511567198601,0.03820511567198601,0.3205795751619875,0.13659714372417325,365,2023-08-09,0.04926305394899647
norcar,Northern Cardinal,Cardinalis cardinalis,2023,country,USA,United States,NA,North America,year_round,2023-01-04,2023-12-27,2.058711454101596,0.9524058566791528,0.9524058566791528,0.58420489708278045,0.8386676582425177,365,2023-10-04,0.9629097632040868
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BLZ-1323,Belize,NA,North America,year_round,2023-01-04,2023-12-27,0.11681719767556928,4.762033760752606e-5,4.762033760752606e-5,0.403907283232766,5.109348151595298e-4,365,2023-08-30,5.9396447608083457e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BLZ-1324,Cayo,NA,North America,year_round,2023-01-04,2023-12-27,0.00507347425966822,1.9366593961724175e-6,1.9366593961724175e-6,0.0443878569433494,5.257872971772856e-5,365,2023-04-19,3.125954136814201e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BLZ-1325,Corozal,NA,North America,year_round,2023-01-04,2023-12-27,0.203940552410822,3.395264636641724e-5,3.395264636641724e-5,0.6721304889790434,3.472336142591323e-4,365,2023-08-30,4.2644410116425683e-05
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BLZ-1326,Orange Walk,NA,North America,year_round,2023-01-04,2023-12-27,0.11679597639410544,4.0037281132389174e-5,4.0037281132389174e-5,0.4286094159592628,4.559282782127136e-4,365,2023-08-30,5.45513903642788e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5135,City of Saint George,NA,North America,year_round,2023-01-04,2023-12-27,1.316501259803772,9.327357657970573e-8,9.327357657970573e-8,1,2.1985455960199507e-7,365,2023-11-01,1.0501383463842492e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5136,Devonshire,NA,North America,year_round,2023-01-04,2023-12-27,0.7436020543884626,1.1501525233000644e-6,1.1501525233000644e-6,0.35228529281577914,1.6908593918934662e-6,365,2023-11-08,2.7727044403883017e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5137,Hamilton,NA,North America,year_round,2023-01-04,2023-12-27,1.9378683441983255,2.7329420795871022e-6,2.7329420795871022e-6,1,4.376271778580529e-6,365,2023-09-20,6.1121880544338695e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5138,Paget,NA,North America,year_round,2023-01-04,2023-12-27,0.9057139090078596,1.2566142185563034e-6,1.2566142185563034e-6,0.4241610929792177,1.826164464500329e-6,365,2023-11-08,4.601898108217492e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5140,Saint George's,NA,North America,year_round,2023-01-04,2023-12-27,0.5138069219646131,3.25040119947581e-6,3.25040119947581e-6,0.2757580768619284,5.413316084189286e-6,365,2023-09-20,6.127014358970412e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5141,Sandys,NA,North America,year_round,2023-01-04,2023-12-27,0.695851236885006,2.4085345382871916e-6,2.4085345382871916e-6,0.30932600335236277,3.322393214322649e-6,365,2023-03-01,3.418671993685785e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5142,Smith's,NA,North America,year_round,2023-01-04,2023-12-27,0.66700726611238,1.1194541728190315e-6,1.1194541728190315e-6,0.40289198930199344,2.0982755149705763e-6,365,2023-11-01,2.599000585063039e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5143,Southampton,NA,North America,year_round,2023-01-04,2023-12-27,0.6703960993627306,1.5839476018293232e-6,1.5839476018293232e-6,0.406081841855054,2.9772892414301353e-6,365,2023-11-08,3.995396899699532e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,BMU-5144,Warwick,NA,North America,year_round,2023-01-04,2023-12-27,0.6911351022729009,1.502283158216746e-6,1.502283158216746e-6,0.36295862029723786,2.4481841883080743e-6,365,2023-11-08,2.9974858585552176e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-AB,Alberta,NA,North America,year_round,2023-01-04,2023-12-27,5.892313723206566e-7,2.8322310538443396e-8,2.8322310538443396e-8,3.40423732896631e-4,5.077626757874383e-5,0,2023-01-11,1.3265184590896014e-7
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-BC,British Columbia,NA,North America,year_round,2023-01-04,2023-12-27,1.8670412084572186e-7,1.3249457088302105e-8,1.3249457088302105e-8,2.7669398283471605e-5,6.0931521094492605e-6,0,2023-01-11,5.670684155470537e-8
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-MB,Manitoba,NA,North America,year_round,2023-01-04,2023-12-27,3.1612553988291037e-6,1.4381565988117926e-7,1.4381565988117926e-7,1.0071034532880528e-4,1.4217354922048272e-5,0,2023-07-05,1.911535610442368e-7
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-NB,New Brunswick,NA,North America,year_round,2023-01-04,2023-12-27,0.00322758510750608,1.813209687967408e-5,1.813209687967408e-5,0.02934960903388699,5.116474030891908e-4,365,2023-02-15,2.9150439201032656e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-NL,Newfoundland and Labrador,NA,North America,year_round,2023-01-04,2023-12-27,2.240434309601819e-6,7.235362013705022e-8,7.235362013705022e-8,9.52560232510796e-4,9.54593830480384e-5,0,2023-12-20,2.488146098331768e-7
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-NS,Nova Scotia,NA,North America,year_round,2023-01-04,2023-12-27,0.01967359379296103,9.548355319724496e-5,9.548355319724496e-5,0.03884008396997081,5.849559431807159e-4,365,2023-11-22,1.1520253119268376e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-ON,Ontario,NA,North America,year_round,2023-01-04,2023-12-27,0.11063929501007064,0.00804543750785416,0.00804543750785416,0.07685260253356252,0.01734191171353497,365,2023-03-01,0.00915175598351594
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-PE,Prince Edward Island,NA,North America,year_round,2023-01-04,2023-12-27,5.022959020294127e-4,3.008176875766009e-7,3.008176875766009e-7,0.00655737704918032,1.218630421889852e-5,365,2023-12-06,5.05566755545069e-7
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-QC,Québec,NA,North America,year_round,2023-01-04,2023-12-27,0.00970105912778925,0.0010846433785287,0.0010846433785287,0.01297549541509284,0.00450183830502814,365,2023-03-01,0.0015614945978177
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,CAN-SK,Saskatchewan,NA,North America,year_round,2023-01-04,2023-12-27,1.089269583149051e-6,5.0664678672047297e-8,5.0664678672047297e-8,1.2664709508019507e-4,1.827945632834778e-5,0,2023-02-15,7.70451356625193e-8
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,GTM-1944,Petén,NA,North America,year_round,2023-01-04,2023-12-27,0.00231742374123973,6.077361416375082e-6,6.077361416375082e-6,0.02541035153528105,2.0678470448371177e-4,365,2023-04-12,8.857282198151425e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-AG,Aguascalientes,NA,North America,year_round,2023-01-04,2023-12-27,0.01180281553426341,4.7621007885680826e-6,4.7621007885680826e-6,0.21298662851797023,2.6666340978489644e-4,365,2023-06-21,1.3152054121042096e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-BC,Baja California,NA,North America,year_round,2023-01-04,2023-12-27,0.00937798226256194,5.3801750220122234e-05,5.3801750220122234e-05,0.01508912947614412,2.6862678101069855e-4,365,2023-07-26,8.246879981708201e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-BS,Baja California Sur,NA,North America,year_round,2023-01-04,2023-12-27,0.8573412598394141,0.00507932731328319,0.00507932731328319,0.6450439412239839,0.01185877696749647,365,2023-08-16,0.00897565481940381
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-CH,Chihuahua,NA,North America,year_round,2023-01-04,2023-12-27,0.02918436842032841,5.263219488754639e-4,5.263219488754639e-4,0.08626365286212648,0.00482755413713637,365,2023-07-05,9.370775355607018e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-CL,Colima,NA,North America,year_round,2023-01-04,2023-12-27,0.00271260068165701,1.1804535379634969e-6,1.1804535379634969e-6,0.17250369495597384,2.329483074836821e-4,365,2023-08-02,7.445130603345136e-6
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-CM,Campeche,NA,North America,year_round,2023-01-04,2023-12-27,0.09055471467700384,3.872847542164786e-4,3.872847542164786e-4,0.4810222920161516,0.00638384984892428,365,2023-08-02,5.158839345192976e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-CO,Coahuila,NA,North America,year_round,2023-01-04,2023-12-27,0.6807499705008031,0.00747444905619322,0.00747444905619322,0.44541231451127405,0.01517581070911962,365,2023-11-08,0.00840319984757994
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-DF,Distrito Federal,NA,North America,year_round,2023-01-04,2023-12-27,0.0045485758688658,4.5488766271047123e-7,4.5488766271047123e-7,0.02003750401843306,6.218282716843985e-6,365,2023-06-07,7.37298690841935e-7
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-DG,Durango,NA,North America,year_round,2023-01-04,2023-12-27,0.004407966677226,3.879666197598602e-5,3.879666197598602e-5,0.02923222240654477,7.983917090496103e-4,365,2023-05-10,8.418584225638323e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-GJ,Guanajuato,NA,North America,year_round,2023-01-04,2023-12-27,0.0246175788952077,5.445917191526478e-5,5.445917191526478e-5,0.2180250779387108,0.00149668453499946,365,2023-06-21,1.0084992000919164e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-GR,Guerrero,NA,North America,year_round,2023-01-04,2023-12-27,0.01564230387059344,7.499572605771458e-5,7.499572605771458e-5,0.09268349852266956,0.00137891133079854,365,2023-07-05,1.2520990310994852e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-HG,Hidalgo,NA,North America,year_round,2023-01-04,2023-12-27,0.03880230090288027,6.011852795185568e-5,6.011852795185568e-5,0.20380320106955913,9.79850877130023e-4,365,2023-04-05,9.46493331063836e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-JA,Jalisco,NA,North America,year_round,2023-01-04,2023-12-27,0.00818068037805193,4.771889075928578e-5,4.771889075928578e-5,0.1221104762576843,0.00221030377691135,365,2023-06-21,1.255881759382833e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-MI,Michoacán,NA,North America,year_round,2023-01-04,2023-12-27,0.00183122170977267,7.909173915750237e-6,7.909173915750237e-6,0.02913344706587362,3.9046327823668507e-4,365,2023-07-05,1.9335002451648463e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-MX,México,NA,North America,year_round,2023-01-04,2023-12-27,1.146730796456506e-4,1.820162789387488e-7,1.820162789387488e-7,0.00121166760761659,5.968021502054536e-6,365,2023-07-05,3.4170786656168745e-7
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-NA,Nayarit,NA,North America,year_round,2023-01-04,2023-12-27,0.00975531428372849,2.017186944318717e-5,2.017186944318717e-5,0.00975703188858022,6.260668856790952e-5,365,2023-06-28,2.5102775542554677e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-NL,Nuevo León,NA,North America,year_round,2023-01-04,2023-12-27,1.0835240931158272,0.00512064810884987,0.00512064810884987,0.6274146010858073,0.00920108635300711,365,2023-07-26,0.00600262859930339
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-OA,Oaxaca,NA,North America,year_round,2023-01-04,2023-12-27,0.01344248979964446,9.21647158125622e-5,9.21647158125622e-5,0.07983328161006997,0.00169850597986202,365,2023-05-03,1.2912722399789324e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-PU,Puebla,NA,North America,year_round,2023-01-04,2023-12-27,0.01289300009034332,3.24335776936408e-5,3.24335776936408e-5,0.05466949230850157,4.267603263618242e-4,365,2023-06-21,5.466701061151789e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-QR,Quintana Roo,NA,North America,year_round,2023-01-04,2023-12-27,0.19548342611773212,6.734539341603228e-4,6.734539341603228e-4,0.7261970248176233,0.0077633746197282,365,2023-08-23,8.239591649104221e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-QT,Querétaro,NA,North America,year_round,2023-01-04,2023-12-27,0.05346602719656251,4.549307595204648e-5,4.549307595204648e-5,0.3548854562194691,9.370304726607403e-4,365,2023-04-05,7.846420458741296e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-SI,Sinaloa,NA,North America,year_round,2023-01-04,2023-12-27,0.5346120515228722,0.0023674449947083,0.0023674449947083,0.5260414948831426,0.00722868469525607,365,2023-08-09,0.00376370439659511
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-SL,San Luis Potosí,NA,North America,year_round,2023-01-04,2023-12-27,0.06853146420710635,3.1997530288719857e-4,3.1997530288719857e-4,0.3512793840422334,0.00508952481806571,365,2023-05-03,5.013787616778919e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-SO,Sonora,NA,North America,year_round,2023-01-04,2023-12-27,0.6835790564505305,0.00912566438381051,0.00912566438381051,0.615607687837938,0.02550221512418313,365,2023-08-02,0.01316207713306022
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-TM,Tamaulipas,NA,North America,year_round,2023-01-04,2023-12-27,0.8366956273089299,0.00486342416193122,0.00486342416193122,0.7575877263614282,0.01366487630199081,365,2023-07-05,0.00586864226405067
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-VE,Veracruz,NA,North America,year_round,2023-01-04,2023-12-27,0.11579364897877074,6.153941963402044e-4,6.153941963402044e-4,0.6063784296218512,0.01000024237431716,365,2023-05-10,9.237385225164674e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-YU,Yucatán,NA,North America,year_round,2023-01-04,2023-12-27,0.3878938520556931,0.00110682282250326,0.00110682282250326,0.9039507238014824,0.00800401865300697,365,2023-07-19,0.00135757793403609
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,MEX-ZA,Zacatecas,NA,North America,year_round,2023-01-04,2023-12-27,0.00188836036002455,1.0262094261144725e-5,1.0262094261144725e-5,0.04371528700644729,7.371953448648959e-4,365,2023-06-21,3.3441927386559975e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-AL,Alabama,NA,North America,year_round,2023-01-04,2023-12-27,4.652060096704312,0.04563696045244363,0.04563696045244363,0.9930983018890196,0.03023164368060602,365,2023-10-04,0.05525250249894782
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-AR,Arkansas,NA,North America,year_round,2023-01-04,2023-12-27,3.807905691683805,0.03808827512196233,0.03808827512196233,0.999749260540649,0.03103089766215362,365,2023-01-04,0.04337148727262072
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-AZ,Arizona,NA,North America,year_round,2023-01-04,2023-12-27,0.1392779540902516,0.0029885577561139,0.0029885577561139,0.20638591056108013,0.01374223738570003,365,2023-07-12,0.00415571987759528
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-CA,California,NA,North America,year_round,2023-01-04,2023-12-27,2.3667268741771326e-7,7.162626597174317e-9,7.162626597174317e-9,4.3254218147369976e-5,4.0621014062995065e-6,0,2023-07-05,1.0043098245301732e-8
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-CO,Colorado,NA,North America,year_round,2023-01-04,2023-12-27,9.64049157902668e-4,1.887367263334013e-5,1.887367263334013e-5,0.00496210180382384,3.014539884497004e-4,365,2023-08-23,3.078956947921286e-5
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-CT,Connecticut,NA,North America,year_round,2023-01-04,2023-12-27,2.194892546857784,0.00214373436881561,0.00214373436881561,0.9605964738634384,0.00291136610093005,365,2023-11-15,0.00252534882826184
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-DC,District of Columbia,NA,North America,year_round,2023-01-04,2023-12-27,4.642263827383579,5.6796099698365865e-5,5.6796099698365865e-5,0.9465024436310768,3.593424791990288e-5,365,2023-10-04,1.1351314321238234e-4
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-DE,Delaware,NA,North America,year_round,2023-01-04,2023-12-27,3.00726480754332,0.00124390186073453,0.00124390186073453,0.9186342559041344,0.00117911240268172,365,2023-09-20,0.0014595004811091
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-FL,Florida,NA,North America,year_round,2023-01-04,2023-12-27,3.3492163597965563,0.03869654505188882,0.03869654505188882,0.942065094732762,0.03377598524169979,365,2023-10-04,0.04835670285139005
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-GA,Georgia,NA,North America,year_round,2023-01-04,2023-12-27,4.805883098886638,0.05364561611021592,0.05364561611021592,0.988991747118774,0.03425719724817584,365,2023-10-04,0.06230069602388253
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-HI,Hawaii,NA,North America,year_round,2023-01-04,2023-12-27,1.0738089123737633,0.00165797349883384,0.00165797349883384,0.6333192030521407,0.00303438975050573,365,2023-05-24,0.00191587491686805
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-IA,Iowa,NA,North America,year_round,2023-01-04,2023-12-27,2.108610874716025,0.02230383134181938,0.02230383134181938,0.8145483038106538,0.02673609649011436,365,2023-01-25,0.02824809226570998
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-IL,Illinois,NA,North America,year_round,2023-01-04,2023-12-27,3.197204374861946,0.03402301002612498,0.03402301002612498,0.936426848049432,0.030922479992449962,365,2023-12-20,0.03999330847628172
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-IN,Indiana,NA,North America,year_round,2023-01-04,2023-12-27,3.472559467758555,0.02374015498758067,0.02374015498758067,0.9847998361387718,0.02089199684873658,365,2023-02-08,0.02726403831562822
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-KS,Kansas,NA,North America,year_round,2023-01-04,2023-12-27,1.9962227826164425,0.03089677419283725,0.03089677419283725,0.80324706818406,0.03857903906797892,365,2023-11-22,0.03428741533194981
norcar,Northern Cardinal,Cardinalis cardinalis,2023,state,USA-KY,Kentucky,NA,North America,year_round,2023-01-04,2023-12-27,4.524973261375553,0.03441405330949906,0.03441405330949906,0.9995366434845518,0.02358938703155003,365,2023-01-11,0.04347269763465385
